implementation;number of threads;parallel_time(elapsed);user time; system time;
Sequential;1;0.012;0.01;0.01;0.014;
Sequential;1;0.014;0.01;0.00;0.016;
Sequential;1;0.028;0.01;0.00;0.032;
OMP_Dynamic_4;4;0.008;0.02;0.01;0.010;
OMP_Dynamic_4;4;0.009;0.02;0.00;0.015;
OMP_Dynamic_4;4;0.013;0.01;0.01;0.015;
OMP_Dynamic_4;4;0.011;0.02;0.00;0.013;
OMP_Static_4;4;0.008;0.02;0.00;0.011;
OMP_Static_4;4;0.016;0.02;0.00;0.019;
OMP_Static_4;4;0.012;0.02;0.00;0.015;
MPI;4;0.005496;0.08;0.10;0.397;
MPI;4;0.007507;0.10;0.09;0.399;
MPI;4;0.005634;0.11;0.07;0.362;
MPI;2;0.008572;0.06;0.07;0.377;
MPI;2;0.008564;0.06;0.07;0.379;
MPI;2;0.008687;0.07;0.06;0.361;
0;0;0;0;0;0;
Sequential;1;0.757;0.75;0.00;0.759;
Sequential;1;0.752;0.75;0.00;0.755;
Sequential;1;0.747;0.75;0.00;0.749;
Sequential;1;0.749;0.75;0.00;0.752;
Sequential;1;0.749;0.75;0.00;0.751;
OpenMP_Dynamic;4;0.282;0.78;0.00;0.285;
OpenMP_Dynamic;4;0.276;0.78;0.00;0.279;
OpenMP_Dynamic;4;0.278;0.79;0.00;0.280;
OpenMP_Dynamic;4;0.279;0.79;0.00;0.282;
OpenMP_Dynamic;4;0.279;0.78;0.00;0.282;
OpenMP_Static;4;0.272;0.78;0.00;0.275;
OpenMP_Static;4;0.273;0.78;0.00;0.276;
OpenMP_Static;4;0.274;0.77;0.01;0.277;
OpenMP_Static;4;0.274;0.78;0.00;0.277;
OpenMP_Static;4;0.271;0.78;0.00;0.274;
user;7.37s;7.348615;7.37;0.01;7.683;
MPI;4;0.492138;2.01;0.08;0.851;
MPI;4;0.498631;1.99;0.10;0.862;
MPI;4;0.493077;2.00;0.09;0.863;
MPI;4;0.492670;2.01;0.08;0.876;
MPI;4;0.513659;2.06;0.08;0.874;
MPI;2;1.870797;3.78;0.07;2.221;
MPI;2;1.863763;3.79;0.05;2.238;
