implementation;number_of_threads;blocks_per_grid;threads_per_block;real_time;user_time;system_time
Cuda;16;4;4;67.011;66.567;0.103
Cuda;16;4;4;66.483;65.775;0.189
Cuda;16;4;4;66.661;66.082;0.117
Cuda;32;4;8;18.201;17.580;0.1
Cuda;32;4;8;18.317;17.799;0.113
Cuda;32;4;8;18.089;17.551;0.11
Cuda;64;4;16;5.481;4.991;0.109
Cuda;64;4;16;5.166;4.745;0.09
Cuda;64;4;16;5.304;4.765;0.185
Cuda;128;4;32;2.112;1.482;0.103
Cuda;128;4;32;1.9;1.463;0.087
Cuda;128;4;32;1.917;1.494;0.116
Cuda;256;8;32;0.827;0.398;0.112
Cuda;256;8;32;0.857;0.458;0.101
Cuda;256;8;32;0.841;0.433;0.097
Cuda;512;16;32;0.527;0.167;0.102
Cuda;512;16;32;0.583;0.152;0.109
Cuda;512;16;32;0.584;0.187;0.09
Cuda;1024;32;32;0.545;0.121;0.078
Cuda;1024;32;32;0.589;0.105;0.102
Cuda;1024;32;32;0.535;0.103;0.1
Cuda;2048;32;64;0.512;0.09;0.084
Cuda;2048;32;64;0.445;0.065;0.108
Cuda;2048;32;64;0.493;0.071;0.113
